time,open,high,low,close,volume
2023-01-03,56.42,58.7,56.35,58.7,1538861
2023-01-04,59.29,59.43,58.19,58.7,796544
2023-01-05,58.85,59.8,58.85,59.14,1014719
2023-01-06,58.99,59.51,58.85,58.92,721096
2023-01-09,59.07,59.36,58.63,58.92,520315
2023-01-10,59.21,59.65,58.85,58.99,754254
2023-01-11,58.99,59.87,58.99,59.36,1078639
2023-01-12,59.43,59.8,58.85,59.21,544065
2023-01-13,59.07,59.58,58.7,58.7,629501
2023-01-16,58.77,59.43,58.48,59.29,576876
2023-01-17,59.58,60.17,59.43,60.17,980634
2023-01-18,60.24,61.19,60.02,61.19,956810
2023-01-19,60.9,61.78,60.83,61.56,1329468
2023-01-27,61.71,62.73,61.63,61.63,1145253
2023-01-30,61.78,61.93,61.41,61.41,893299
2023-01-31,61.27,61.41,59.95,61.27,1531495
2023-02-01,61.63,61.63,60.02,60.17,1051061
2023-02-02,60.24,60.46,59.65,60.09,1327690
2023-02-03,60.17,60.17,58.77,58.77,1730152
2023-02-06,58.7,59.87,58.48,59.07,946115
2023-02-07,59.07,60.09,59.07,59.21,752838
2023-02-08,59.29,59.95,59.14,59.58,671553
2023-02-09,59.43,59.87,59.21,59.21,743939
2023-02-10,59.51,59.58,59.07,59.21,725810
2023-02-13,59.21,59.58,58.7,59.21,614692
2023-02-14,59.21,59.43,58.85,59.29,621417
2023-02-15,59.07,60.09,58.92,59.87,646219
2023-02-16,59.87,60.17,59.21,59.87,425495
2023-02-17,59.58,59.87,59.43,59.87,468845
2023-02-20,59.87,60.9,59.73,60.75,1277504
2023-02-21,60.75,61.41,60.61,60.75,841841
2023-02-22,60.39,60.53,60.02,60.02,748561
2023-02-23,59.95,59.95,59.14,59.73,1161953
2023-02-24,59.51,59.65,58.99,59.29,559986
2023-02-27,58.7,59.07,58.63,58.92,1016698
2023-02-28,58.7,59.21,58.33,59.07,525466
2023-03-01,58.33,59.07,57.75,59.07,1377551
2023-03-02,58.7,59.07,58.55,58.7,431732
2023-03-03,58.19,58.7,57.6,57.6,741791
2023-03-06,57.31,58.55,57.31,57.38,818674
2023-03-07,58.04,58.63,57.82,57.82,793553
2023-03-08,57.6,58.33,57.6,58.33,511968
2023-03-09,58.33,59.21,58.11,59.14,641624
2023-03-10,58.85,58.99,57.97,58.33,641543
2023-03-13,57.31,58.26,57.31,57.89,887883
2023-03-14,57.97,58.04,57.6,57.75,428257
2023-03-15,58.04,59.07,58.04,59.07,693264
2023-03-16,58.7,58.7,57.53,58.11,850831
2023-03-17,58.41,58.7,57.67,57.97,430362
2023-03-20,58.04,58.19,56.94,56.94,771192
2023-03-21,57.67,57.75,56.57,57.31,537316
2023-03-22,57.38,57.67,56.94,57.6,611402
2023-03-23,57.53,57.6,56.94,57.23,357327
2023-03-24,57.45,57.82,57.23,57.67,367884
2023-03-27,57.89,58.11,57.6,58.04,768784
2023-03-28,58.11,58.11,56.86,58.11,1001517
2023-03-29,58.11,58.19,57.67,57.97,405351
2023-03-30,57.97,58.19,57.82,58.04,409438
2023-03-31,58.04,58.33,57.97,58.04,672646
2023-04-03,58.26,59.36,58.04,59.36,1172390
2023-04-04,59.36,59.43,58.7,59.07,585746
2023-04-05,59.07,59.14,58.48,59.14,423371
2023-04-06,59.21,59.8,58.92,58.92,614350
2023-04-07,58.85,59.21,58.7,59.07,360755
2023-04-10,59.43,59.43,58.77,58.92,771039
2023-04-11,58.85,59.07,58.77,58.92,534886
2023-04-12,58.92,59.07,58.63,58.92,575815
2023-04-13,58.92,58.99,58.19,58.41,542069
2023-04-14,58.63,58.77,58.19,58.41,399536
2023-04-17,58.41,58.48,57.97,58.41,450882
2023-04-18,58.41,58.7,58.11,58.26,302472
2023-04-19,58.55,58.55,58.19,58.19,420463
2023-04-20,58.55,58.55,58.11,58.26,365619
2023-04-21,58.7,58.7,58.19,58.19,324840
2023-04-24,58.33,59.14,57.97,58.04,795812
2023-04-25,58.04,58.19,57.45,57.53,541028
2023-04-26,57.31,57.53,56.94,57.45,772857
2023-04-27,57.31,57.82,57.31,57.45,221966
2023-04-28,57.82,57.82,56.86,56.86,946202
2023-05-04,57.08,57.75,56.94,57.6,498526
2023-05-05,57.67,57.67,57.38,57.53,320239
2023-05-08,57.6,57.89,57.53,57.6,364297
2023-05-09,57.67,58.55,57.67,57.89,607003
2023-05-10,57.97,58.41,57.97,57.97,633179
2023-05-11,58.04,58.41,57.97,58.04,477378
2023-05-12,58.19,59.14,57.82,59.07,1085041
2023-05-15,59.73,60.02,59.29,59.43,936340
2023-05-16,59.43,59.95,59.29,59.8,768209
2023-05-17,60.09,60.68,59.51,59.8,977785
2023-05-18,60.02,60.9,59.73,60.83,1552354
2023-05-19,60.9,61.12,60.02,60.75,1075113
2023-05-22,60.75,60.75,60.17,60.53,562355
2023-05-23,60.53,60.53,59.73,60.17,657960
2023-05-24,60.17,60.24,59.51,59.65,465813
2023-05-25,59.58,61.19,59.43,61.05,1343692
2023-05-26,60.97,61.19,60.39,60.97,865789
2023-05-29,61.27,61.41,60.83,60.97,881263
2023-05-30,60.9,62.29,60.83,61.63,1662064
2023-05-31,61.78,61.78,60.97,61.71,840575
2023-06-01,61.63,61.63,60.97,61.27,538944
2023-06-02,61.27,61.85,60.97,61.49,738485
2023-06-05,61.56,62.51,61.49,62.37,1428499
2023-06-06,62.59,62.59,62.15,62.59,516234
2023-06-07,62.37,62.66,61.85,62.37,707049
2023-06-08,62.15,62.29,61.27,61.34,1246481
2023-06-09,61.85,62.15,61.41,62.07,681805
2023-06-12,62.0,62.29,61.34,62.29,521246
2023-06-13,61.93,62.29,61.85,61.93,468477
2023-06-14,61.85,62.22,61.71,61.78,659704
2023-06-15,61.78,61.93,61.34,61.71,800193
2023-06-16,61.71,63.25,61.19,62.0,2234265
2023-06-19,62.15,62.73,62.0,62.15,664779
2023-06-20,62.37,62.95,62.15,62.73,946100
2023-06-21,62.73,63.4,62.66,62.95,707032
2023-06-22,63.17,63.47,62.15,62.73,1021586
2023-06-23,62.81,62.81,62.22,62.44,823244
2023-06-26,62.44,62.95,62.07,62.95,861394
2023-06-27,63.1,64.06,63.1,64.06,1544056
2023-06-28,64.13,64.42,63.84,63.84,967842
2023-06-29,63.84,63.91,63.47,63.47,563802
2023-06-30,63.47,63.54,63.1,63.1,734840
2023-07-03,63.47,63.69,63.1,63.4,1041108
2023-07-04,63.4,63.84,63.25,63.84,1329492
2023-07-05,64.1,65.3,63.85,63.85,1791184
2023-07-06,63.85,64.19,63.17,63.68,1522489
2023-07-07,63.34,64.45,63.34,64.27,899592
2023-07-10,64.27,64.79,63.93,64.27,1156888
2023-07-11,64.27,64.36,64.02,64.02,1093461
2023-07-12,64.02,64.62,63.93,64.27,906936
2023-07-13,64.7,64.7,64.36,64.7,1255041
2023-07-14,65.64,66.84,64.96,66.84,2826852
2023-07-17,67.43,67.6,67.01,67.43,1156882
2023-07-18,67.43,67.43,66.66,67.18,719990
2023-07-19,67.01,67.35,66.84,67.01,710544
2023-07-20,67.09,69.4,67.01,68.54,2297840
2023-07-21,68.03,69.14,67.95,69.14,1275567
2023-07-24,69.14,69.4,68.8,69.14,1175667
2023-07-25,69.14,70.16,69.14,69.4,1060033
2023-07-26,69.31,70.59,69.23,70.59,1273543
2023-07-27,70.68,72.04,70.68,71.44,1421340
2023-07-28,71.27,72.04,70.93,72.04,900725
2023-07-31,72.3,73.24,72.04,73.07,1475315
2023-08-01,73.07,73.66,72.13,72.13,1290289
2023-08-02,72.13,72.38,71.27,71.27,999318
2023-08-03,71.53,71.87,70.76,71.44,910770
2023-08-04,71.7,72.13,71.1,71.1,1620226
2023-08-07,71.36,72.13,71.1,72.13,755463
2023-08-08,71.7,72.21,71.53,71.87,638510
2023-08-09,71.7,72.3,70.85,70.93,985253
2023-08-10,70.93,71.1,70.16,70.16,1345605
2023-08-11,69.99,70.85,69.57,69.99,1146772
2023-08-14,70.08,71.02,69.99,70.51,1016349
2023-08-15,70.51,71.96,69.57,71.7,1677357
2023-08-16,71.02,72.73,71.02,72.64,2613481
2023-08-17,72.55,74.43,72.55,73.41,3708846
2023-08-18,73.07,75.03,71.96,72.98,4252285
2023-08-21,73.32,74.01,72.98,73.32,2461231
2023-08-22,73.66,73.83,70.85,73.83,2337900
2023-08-23,73.75,74.09,72.3,73.83,1422837
2023-08-24,73.84,77.81,73.49,77.72,5269510
2023-08-25,77.29,78.59,76.95,78.24,2802665
2023-08-28,79.45,81.44,78.59,81.18,2969885
2023-08-29,81.18,81.18,80.14,80.83,1556447
2023-08-30,80.49,84.81,80.4,83.42,2376554
2023-08-31,83.42,84.2,82.99,83.51,1409398
2023-09-05,83.86,85.24,83.6,83.6,1448003
2023-09-06,83.86,85.5,83.16,85.5,2503495
2023-09-07,85.5,87.05,84.29,84.55,3257432
2023-09-08,84.2,85.06,83.77,84.29,2122234
2023-09-11,85.24,85.93,82.3,84.11,5159148
2023-09-12,84.11,85.41,84.11,85.41,2687116
2023-09-13,85.41,85.5,84.11,84.63,2895387
2023-09-14,84.63,84.63,82.47,82.82,2324353
2023-09-15,82.91,84.46,82.3,84.2,2140173
2023-09-18,83.68,83.68,82.65,83.68,2030801
2023-09-19,83.6,84.98,82.82,84.98,3588961
2023-09-20,85.32,86.1,85.06,85.06,2449993
2023-09-21,85.06,85.41,83.16,83.6,3422654
2023-09-22,82.13,83.77,79.97,83.51,6867488
2023-09-25,83.77,84.29,81.44,81.44,2102701
2023-09-26,81.35,82.47,80.4,80.75,2159726
2023-09-27,81.09,81.44,78.07,81.44,4516129
2023-09-28,81.26,81.44,78.93,81.18,1768685
2023-09-29,81.18,81.96,80.14,80.14,1637648
2023-10-02,80.66,81.01,79.45,80.49,1139848
2023-10-03,79.62,80.75,79.02,79.62,2010673
2023-10-04,78.85,80.66,78.85,79.88,1593917
2023-10-05,80.14,80.57,79.11,79.11,1370603
2023-10-06,79.02,80.14,78.59,80.06,1149293
2023-10-09,79.8,82.56,79.62,82.56,3660637
2023-10-10,83.34,83.94,82.39,83.16,3259197
2023-10-11,82.82,84.63,82.82,83.77,2361344
2023-10-12,83.77,84.46,82.91,83.25,1884002
2023-10-13,82.91,83.16,82.3,82.99,2364522
2023-10-16,83.6,85.41,83.16,83.6,4979916
2023-10-17,84.46,84.46,80.4,80.4,2422927
2023-10-18,81.96,81.96,78.59,80.31,6149090
2023-10-19,81.18,81.44,79.45,79.45,3033197
2023-10-20,79.88,80.31,77.81,80.23,2867958
2023-10-23,81.01,81.01,78.41,78.59,1975305
2023-10-24,79.8,79.8,78.41,79.45,1615528
2023-10-25,79.28,80.06,78.5,78.5,1840166
2023-10-26,76.26,77.64,74.27,74.96,5919549
2023-10-27,75.56,76.0,74.53,75.13,2039441
2023-10-30,75.13,75.22,73.41,73.41,1873591
2023-10-31,73.49,73.67,71.68,71.68,3095467
2023-11-01,72.8,73.75,71.33,73.75,2178980
2023-11-02,74.62,76.86,74.18,76.86,2207208
2023-11-03,76.86,77.03,75.13,75.13,4845587
2023-11-06,76.17,76.77,75.82,76.43,1212457
2023-11-07,76.43,76.69,75.91,76.26,1343408
2023-11-08,76.17,79.97,76.0,79.97,2947501
2023-11-09,79.45,80.57,79.28,79.88,2114138
2023-11-10,79.02,80.06,78.85,79.02,2409873
2023-11-13,79.11,79.45,78.16,78.93,1534993
2023-11-14,79.45,80.66,78.85,79.97,2000413
2023-11-15,80.92,81.01,79.45,79.8,2420392
2023-11-16,79.62,80.31,79.11,80.31,1908811
2023-11-17,80.66,80.75,78.24,78.59,3572003
2023-11-20,77.81,79.97,76.95,78.33,1659285
2023-11-21,79.45,79.45,78.33,79.36,1462987
2023-11-22,79.36,80.4,79.36,80.31,3274558
2023-11-23,80.57,80.92,78.41,78.41,2168399
2023-11-24,78.41,79.45,77.9,78.76,2251338
2023-11-27,78.93,78.93,77.81,78.33,1661825
2023-11-28,78.41,79.36,77.64,78.67,1092670
2023-11-29,79.11,79.45,78.67,79.19,804163
2023-11-30,78.93,80.92,78.85,79.36,1984701
2023-12-01,79.62,80.23,78.85,79.8,1192386
2023-12-04,79.97,81.18,79.97,80.83,3466947
2023-12-05,81.01,82.73,80.92,81.87,3596254
2023-12-06,82.04,82.39,81.26,82.04,1223469
2023-12-07,82.13,82.3,80.14,81.44,3765052
2023-12-08,81.44,82.13,80.75,81.35,1747729
2023-12-11,82.47,82.65,81.7,82.04,1567612
2023-12-12,82.39,83.6,82.3,83.6,4090519
2023-12-13,84.11,84.11,82.21,82.21,2152046
2023-12-14,82.73,83.25,82.21,83.08,1715423
2023-12-15,83.08,83.16,82.04,83.08,1477484
2023-12-18,82.82,83.08,80.92,81.18,2269177
2023-12-19,81.09,81.7,80.83,81.7,1253010
2023-12-20,81.44,82.04,81.26,81.78,1351472
2023-12-21,81.7,82.13,81.18,82.13,1758872
2023-12-22,82.04,82.13,81.52,81.7,1276887
2023-12-25,81.96,83.08,81.87,82.91,2019931
2023-12-26,83.34,85.15,83.25,83.94,3364283
2023-12-27,84.11,84.46,83.68,83.68,1359748
2023-12-28,83.77,83.77,83.16,83.42,1199164
2023-12-29,83.42,83.77,82.99,82.99,1869204
2024-01-02,83.68,83.68,82.65,82.82,1717109
2024-01-03,82.56,83.34,82.39,83.16,1439581
2024-01-04,83.16,84.98,83.08,83.94,2978466
2024-01-05,84.03,84.2,83.34,84.11,1140908
2024-01-08,84.11,84.89,83.86,84.03,1446808
2024-01-09,84.03,84.03,83.42,83.42,1213774
2024-01-10,83.51,83.68,81.61,81.78,3309732
2024-01-11,81.78,82.39,81.78,82.04,1373914
2024-01-12,81.87,82.56,81.26,81.78,2602405
2024-01-15,82.04,82.82,81.96,82.39,1315058
2024-01-16,81.78,82.65,81.78,82.65,811904
2024-01-17,82.56,82.91,82.04,82.65,1416305
2024-01-18,82.65,82.91,82.21,82.56,1139263
2024-01-19,82.91,83.68,82.65,83.16,1495663
2024-01-22,83.6,83.6,82.73,83.25,1110387
2024-01-23,82.99,83.25,82.39,82.56,1482899
2024-01-24,82.73,82.73,81.96,82.04,1725114
2024-01-25,82.13,82.65,81.87,82.13,847088
2024-01-26,82.47,83.08,82.3,82.82,927816
2024-01-29,82.82,82.99,82.3,82.82,1062382
2024-01-30,82.82,82.82,82.39,82.56,950876
2024-01-31,82.56,82.91,82.47,82.65,1383416
2024-02-01,82.82,86.27,82.65,86.27,7803177
2024-02-02,86.53,88.26,86.45,88.09,2885879
2024-02-05,88.09,89.9,88.0,89.38,2701349
2024-02-06,89.47,90.68,88.86,89.9,1890491
2024-02-07,90.42,90.68,89.73,90.59,2130668
2024-02-15,90.85,91.11,89.64,89.81,2254547
2024-02-16,89.81,90.76,89.64,90.76,2070089
2024-02-19,91.11,92.41,90.68,90.68,2037643
2024-02-20,90.85,90.85,89.81,90.07,1848111
2024-02-21,89.81,92.32,89.38,91.46,3141692
2024-02-22,91.46,91.54,90.33,90.33,1722092
2024-02-23,91.11,92.15,89.21,89.73,4108378
2024-02-26,89.73,93.27,89.38,93.27,4472548
2024-02-27,93.7,94.56,92.75,93.18,2807162
2024-02-28,93.27,93.7,91.8,93.7,3466729
2024-02-29,93.44,94.48,93.01,94.13,2829302
2024-03-01,94.31,96.21,94.22,95.69,4028406
2024-03-04,95.86,96.55,95.69,96.21,3092985
2024-03-05,96.21,96.21,94.91,95.6,3390992
2024-03-06,95.0,95.34,93.61,94.22,3710122
2024-03-07,94.22,98.36,93.44,96.12,4044840
2024-03-08,96.12,97.24,94.56,95.0,3122548
2024-03-11,95.0,98.02,95.0,95.0,3389872
2024-03-12,95.0,98.02,95.0,96.64,2912964
2024-03-13,97.41,101.04,96.72,101.04,5125138
2024-03-14,102.34,102.34,99.92,101.04,3472473
2024-03-15,100.87,100.87,98.88,100.18,3846741
2024-03-18,100.0,100.0,95.95,97.59,5898676
2024-03-19,97.59,97.59,95.95,96.72,3324749
2024-03-20,96.98,99.31,95.95,98.88,3483551
2024-03-21,99.49,100.35,98.97,100.35,3762372
2024-03-22,100.44,100.44,98.88,99.23,2420313
2024-03-25,98.54,99.4,98.28,98.45,2799669
2024-03-26,98.45,99.75,98.1,99.31,1696761
2024-03-27,99.05,99.57,98.54,99.49,1323812
2024-03-28,100.09,101.39,99.57,101.13,2808951
2024-03-29,100.52,101.21,100.18,100.61,1346605
2024-04-01,100.18,101.56,99.49,100.87,1980689
2024-04-02,99.66,101.04,99.66,101.04,2289100
2024-04-03,100.26,101.04,99.4,99.4,2555654
2024-04-04,99.31,100.0,98.45,98.45,2369065
2024-04-05,97.67,99.05,97.24,98.19,2764447
2024-04-08,98.19,98.19,97.24,97.24,1957677
2024-04-09,97.24,97.76,97.16,97.59,1437679
2024-04-10,98.02,99.83,97.85,98.28,1795600
